Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Habitat,Year,Date,Start_Time,End_Time,Month,Month_Name,Day,Day_Of_Week,Observation_Hour,Observation_Duration_Min,Season,Observer,Visit,Interval_Length,ID_Method,Distance,Distance_Category,Distance_Standardized,Flyover_Observed,Sex,Sex_Standardized,Common_Name,Scientific_Name,AcceptedTSN,Taxon_Code,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Conservation_Priority,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Previously_Obs,Source_Sheet
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,False,True,Regional Stewardship Only,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,5 - 7.5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Calling,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,False,True,Regional Stewardship Only,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Baltimore Oriole,Icterus galbula,179083,93655,BAOR,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0082,Forest,Forest,2018,2018-05-22,06:02:00,06:12:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Kimberly Serno,1,2.5 - 5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,False,False,Standard / Secure,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,False,True,Regional Stewardship Only,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,False,True,Regional Stewardship Only,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Indigo Bunting,Passerina cyanea,179150,94257,INBU,False,True,Regional Stewardship Only,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Mourning Dove,Zenaida macroura,177125,82737,MODO,False,False,Standard / Secure,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,False,False,Standard / Secure,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,False,False,Standard / Secure,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,False,True,Regional Stewardship Only,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,False,False,Standard / Secure,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,5 - 7.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,False,True,Regional Stewardship Only,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,False,True,Regional Stewardship Only,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,False,False,Standard / Secure,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,2.5 - 5 min,Calling,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,False,True,Regional Stewardship Only,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,False,False,Standard / Secure,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0078,Forest,Forest,2018,2018-05-22,07:21:00,07:31:00,5,May,22,Tuesday,7,10.0,Spring (Breeding Early),Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,False,True,Regional Stewardship Only,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0025,Forest,Forest,2018,2018-05-23,08:28:00,08:38:00,5,May,23,Wednesday,8,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,False,False,Standard / Secure,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0025,Forest,Forest,2018,2018-05-23,08:28:00,08:38:00,5,May,23,Wednesday,8,10.0,Spring (Breeding Early),Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,False,False,Standard / Secure,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0025,Forest,Forest,2018,2018-05-23,08:28:00,08:38:00,5,May,23,Wednesday,8,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,American Goldfinch,Spinus tristis,179236,95300,AMGO,False,False,Standard / Secure,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0025,Forest,Forest,2018,2018-05-23,08:28:00,08:38:00,5,May,23,Wednesday,8,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Visualization,,Flyover / Unrecorded,Not Recorded / Flyover,True,,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,False,False,Standard / Secure,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0025,Forest,Forest,2018,2018-05-23,08:28:00,08:38:00,5,May,23,Wednesday,8,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,False,True,Regional Stewardship Only,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0025,Forest,Forest,2018,2018-05-23,08:28:00,08:38:00,5,May,23,Wednesday,8,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Indigo Bunting,Passerina cyanea,179150,94257,INBU,False,True,Regional Stewardship Only,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0025,Forest,Forest,2018,2018-05-23,08:28:00,08:38:00,5,May,23,Wednesday,8,10.0,Spring (Breeding Early),Elizabeth Oswald,1,5 - 7.5 min,Visualization,,Flyover / Unrecorded,Not Recorded / Flyover,True,,Undetermined,Red-winged Blackbird,Agelaius phoeniceus,179045,93613,RWBL,False,False,Standard / Secure,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0025,Forest,Forest,2018,2018-05-23,08:28:00,08:38:00,5,May,23,Wednesday,8,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Northern Mockingbird,Mimus polyglottos,178620,88394,NOMO,False,False,Standard / Secure,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0052,Forest,Forest,2018,2018-05-23,09:26:00,09:36:00,5,May,23,Wednesday,9,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,False,False,Standard / Secure,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0052,Forest,Forest,2018,2018-05-23,09:26:00,09:36:00,5,May,23,Wednesday,9,10.0,Spring (Breeding Early),Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,False,False,Standard / Secure,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,ANTI
